Occupation,Career_Cluster,Career_Pathway,Top_10_Skills
Septic Tank Servicers and Sewer Pipe Cleaners,Architecture & Construction,Maintenance/Operations,"customer service_617,valid driver's license_512,ability to work at heights_364,communication_337,ability to lift heavy objects_313,ability to travel_244,communication skills_241,travel_226,teamwork_222,problemsolving_220"
Solar Thermal Installers and Technicians,Architecture & Construction,Maintenance/Operations,"troubleshooting_4,attention to detail_3,communication skills_3,punctuality_2,solar photovoltaic electric power generation_2,utility scale inverters_2,nerc/cip compliance_2,microsoft office (word excel outlook)_2,distributed controls systems_2,project management_2"
Stationary Engineers and Boiler Operators,Architecture & Construction,Maintenance/Operations,"plumbing_55,hvac_47,troubleshooting_43,electrical_38,hvac systems_32,engineering_26,maintenance_26,preventative maintenance_26,general maintenance_26,electrical systems_24"
Weatherization Installers and Technicians,Architecture & Construction,Maintenance/Operations,"customer service_392,valid driver's license_317,ability to work at heights_213,communication_205,ability to lift heavy objects_193,problemsolving_151,ability to travel_146,travel_140,communication skills_135,teamwork_126"
Audio and Video Technicians,"Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,"sap_9,production lab experience_9,attention to detail_8,computerized maintenance management system (cmms)_7,communication skills_7,teamwork_7,ability to work in elevated areas_7,forklift operation_7,troubleshooting_7,ability to work in varied conditions_6"
Broadcast Announcers and Radio Disc Jockeys,"Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,"customer service_2349,teamwork_2014,communication_1745,time management_1148,attention to detail_1034,hospitality_786,flexibility_766,communication skills_708,problemsolving_530,sanitation_495"
Broadcast Technicians,"Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,"troubleshooting_104,teamwork_52,plumbing_52,communication_51,hvac_47,electrical_39,communication skills_39,electrical engineering_35,engineering_33,project management_31"
"Camera Operators, Television, Video, and Film","Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,"attention to detail_37,manufacturing_32,teamwork_29,communication_29,packaging_28,quality control_28,troubleshooting_23,labeling_23,production_22,weighing_21"
"Communications Equipment Operators, All Other","Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,"communication_21,customer service_20,equipment operation_16,teamwork_16,attention to detail_14,problemsolving_11,forklift operation_11,twic card_11,high school diploma or ged_10,communication skills_10"
"Communications Equipment Operators, All Other",Business Management & Administration,Administrative Support,"communication_21,customer service_20,equipment operation_16,teamwork_16,attention to detail_14,problemsolving_11,forklift operation_11,twic card_11,high school diploma or ged_10,communication skills_10"
Editors,"Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,"editing_55,communication_44,collaboration_38,attention to detail_36,proofreading_34,time management_34,writing_33,journalism_32,seo_26,organizational skills_26"
Film and Video Editors,"Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,"video editing_43,editing_27,communication_27,attention to detail_22,project management_22,time management_19,adobe premiere pro_18,proofreading_17,journalism_17,adobe after effects_16"
Lighting Technicians,"Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,"manufacturing_32,attention to detail_30,packaging_28,quality control_27,communication_24,teamwork_23,labeling_23,production_22,weighing_21,troubleshooting_20"
"News Analysts, Reporters, and Journalists","Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,"journalism_18,writing_16,research_13,editing_12,communication_10,reporting_8,social media_7,storytelling_7,bachelor's degree_7,interviewing_7"
Photographers,"Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,"photography_58,photoshop_37,lightroom_35,remote work_28,external flash_20,manual mode_18,paid training_17,adobe lightroom_16,hipaa_15,flexible schedule_14"
"Poets, Lyricists and Creative Writers","Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,"content writing_12,communication_12,collaboration_11,editing_10,storytelling_9,proofreading_9,research_8,project management_8,bachelor's degree_8,attention to detail_8"
Sound Engineering Technicians,"Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,"communication_3,adaptability_2,attention to detail_2,mixing_2,collaboration_2,technical theater_1,lighting_1,sound_1,audiovisual_1,production equipment_1"
Technical Writers,"Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,"technical writing_446,documentation_113,attention to detail_105,project management_104,editing_97,communication_93,collaboration_84,bachelor's degree_81,microsoft office suite_80,communication skills_62"
Writers and Authors,"Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,"copywriting_43,editing_30,collaboration_29,attention to detail_29,project management_29,communication_29,proofreading_27,writing_24,seo_21,time management_21"
Actors,"Arts, Audio/Video Technology & Communications",Performing Arts,"acting_1,improvisation_1,verbal and nonverbal expression of emotions_1,green screen studio shooting_1,studio setup_1,threecamera setup_1,ai technology_1,ai research_1,data privacy acts_1,global data privacy acts_1"
"Agents and Business Managers of Artists, Performers, and Athletes","Arts, Audio/Video Technology & Communications",Performing Arts,"communication_18,project management_13,business management_12,budgeting_11,teamwork_10,communication skills_10,accounting_10,data analysis_10,sales_10,team management_9"
Choreographers,"Arts, Audio/Video Technology & Communications",Performing Arts,"interpersonal skills_72,physical fitness_68,customer service_63,coaching_62,teamwork_60,dance curriculum_50,dance instruction_46,choreography_42,dance_38,dance training_35"
Costume Attendants,"Arts, Audio/Video Technology & Communications",Performing Arts,"organizational skills_3,quality control_2,project management_2,customer service_1,inventory management_1,communication_1,problem reporting_1,vendor relations_1,ordering_1,alterations_1"
"Disc Jockeys, Except Radio","Arts, Audio/Video Technology & Communications",Performing Arts,"event coordination_1,event management_1,staff management_1,tour hosting_1,food & beverage coordination_1,client relations_1,catering_1,event setup/breakdown_1,twoway radio communication_1,customer service_1"
"Entertainers and Performers, Sports and Related Workers, All Other","Arts, Audio/Video Technology & Communications",Performing Arts,"high school diploma_2,customer service_2,teamwork_2,communication skills_1,event planning_1,mascot handling_1,balloon distribution_1,photography skills_1,ged_1,communication_1"
"Makeup Artists, Theatrical and Performance","Arts, Audio/Video Technology & Communications",Performing Arts,"customer service_26,sales_23,teamwork_18,product knowledge_17,communication_17,merchandising_15,inventory management_13,visual merchandising_9,troubleshooting_9,retail experience_9"
Media Programming Directors,"Arts, Audio/Video Technology & Communications",Performing Arts,"program management_176,communication_163,project management_143,leadership_114,communication skills_67,risk management_63,problem solving_63,scheduling_58,problemsolving_57,time management_56"
Media Technical Directors/Managers,"Arts, Audio/Video Technology & Communications",Performing Arts,"communication_1585,leadership_1550,problem solving_1003,quality control_903,production management_738,continuous improvement_704,production supervision_666,scheduling_642,customer service_636,operations management_608"
Music Directors and Composers,"Arts, Audio/Video Technology & Communications",Performing Arts,"railroad operations_26,work experience_25,driver's license_22,train movement_22,ged_20,high school diploma_20,valid driver's license_20,train orders_19,equipment inspection_19,safety instructions_18"
Musicians and Singers,"Arts, Audio/Video Technology & Communications",Performing Arts,"sightreading_9,keyboard_7,piano_7,gospel music_7,contemporary music_6,christian faith_6,music theory_5,accompaniment_4,hymns_4,choruses_4"
Producers and Directors,"Arts, Audio/Video Technology & Communications",Performing Arts,"communication_1098,leadership_972,quality control_758,production management_696,problem solving_678,production supervision_664,continuous improvement_569,manufacturing_490,lean manufacturing_480,scheduling_448"
Talent Directors,"Arts, Audio/Video Technology & Communications",Performing Arts,"artist management_1,music business_1,business administration_1,arts management_1,contract negotiation_1,tour planning_1,album release coordination_1,client liaison_1,music industry knowledge_1,verbal communication_1"
Desktop Publishers,"Arts, Audio/Video Technology & Communications",Printing Technology,"troubleshooting_10,communication skills_8,desktop support_7,project management_7,time management_6,customer service_5,active directory_5,attention to detail_5,microsoft windows_5,flexibility_4"
Prepress Technicians and Workers,"Arts, Audio/Video Technology & Communications",Printing Technology,"multitasking_6,attention to detail_5,alcoholic beverage service certification_5,hospitality_4,teamwork_4,food runner_3,luxury service_3,fastpaced environment_3,valid food handler certification_3,document processing_3"
